;name;engine_power;max_spped;vehicle_transmission;model_date_begin;model_date_end;series;acceleration_time_to_100_km_h;dimensions_height;payload;dimensions_length;number_of_cylinders;wheelbase;curb_weight;dimensions_width;;;
206;118i;136;204;AT;2007;2012;1ER;10.1;1421;500;4239;4;2660;1375;1748;;;
207;120i;170;222;AT;2007;2012;1ER;8.4;1421;500;4239;4;2660;1320;1748;;;
208;120d;177;226;AT;2007;2012;1ER;7.8;1421;500;4239;4;2660;1455;1748;;;
209;120i;156;213;AT;2007;2012;1ER;9.2;1421;500;4239;4;2660;1395;1748;;;
210;120d;177;228;AT;2007;2012;1ER;7.8;1421;500;4239;4;2660;1380;1748;;;
211;120d;177;226;AT;2007;2012;1ER;7.8;1421;500;4239;4;2660;1380;1748;;;
212;118d;143;210;AT;2007;2012;1ER;9.1;1421;510;4239;4;2660;1345;1748;;;
213;123d;204;236;AT;2007;2012;1ER;7.1;1421;500;4239;4;2660;1420;1748;;;
214;123d;204;236;AT;2007;2012;1ER;7.1;1421;500;4239;4;2660;1420;1748;;;
215;120d;177;228;MT;2007;2012;1ER;7.6;1421;500;4239;4;2660;1375;1748;;;
216;118i;136;208;MT;2007;2012;1ER;9.4;1421;500;4239;4;2660;1350;1748;;;
217;123d;204;238;MT;2007;2012;1ER;7.0;1421;500;4239;4;2660;1495;1748;;;
218;120i;156;215;MT;2007;2012;1ER;8.6;1421;500;4239;4;2660;1375;1748;;;
219;120d;177;228;MT;2007;2012;1ER;7.6;1421;500;4239;4;2660;1450;1748;;;
220;118i;143;210;MT;2007;2012;1ER;8.8;1421;500;4239;4;2660;1275;1748;;;
221;120i;170;224;MT;2007;2012;1ER;7.8;1421;500;4239;4;2660;1300;1748;;;
222;118d;143;210;MT;2007;2012;1ER;9.0;1421;510;4239;4;2660;1320;1748;;;
223;120d;177;228;MT;2007;2012;1ER;7.6;1421;500;4239;4;2660;1375;1748;;;
224;123d;204;238;MT;2007;2012;1ER;7.0;1421;500;4239;4;2660;1420;1748;;;
225;118d;143;210;MT;2007;2012;1ER;9.0;1421;510;4239;4;2660;1320;1748;;;
226;120d;177;228;MT;2007;2012;1ER;7.6;1421;500;4239;4;2660;1375;1748;;;
227;116i;122;204;MT;2007;2012;1ER;9.9;1421;500;4239;4;2660;1275;1748;;;
228;118i;143;210;MT;2007;2012;1ER;8.8;1421;500;4239;4;2660;1275;1748;;;
229;120i;170;224;MT;2007;2012;1ER;7.8;1421;500;4239;4;2660;1300;1748;;;
230;116d;115;200;MT;2007;2012;1ER;10.3;1421;525;4239;4;2660;1305;1748;;;
231;116d;116;200;MT;2007;2012;1ER;10.3;1421;525;4239;4;2660;1305;1748;;;
232;123d;204;238;MT;2007;2012;1ER;7.0;1421;500;4239;4;2660;1420;1748;;;
233;123d;204;238;MT;2007;2012;1ER;7.0;1421;500;4239;4;2660;1420;1748;;;
234;130i;265;250;AT;2007;2012;1ER;6.1;1421;500;4239;6;2660;1410;1748;;;
235;130i;258;250;AT;2007;2012;1ER;6.3;1421;500;4239;6;2660;1410;1748;;;
236;130i;265;250;AT;2007;2012;1ER;6.3;1421;500;4239;6;2660;1485;1748;;;
237;130i;258;250;MT;2007;2012;1ER;6.1;1421;500;4239;6;2660;1385;1748;;;
238;130i;265;250;MT;2007;2012;1ER;6.1;1421;500;4239;6;2660;1385;1748;;;
239;130i;265;250;MT;2007;2012;1ER;6.1;1421;500;4239;6;2660;1460;1748;;;
240;116i;115;200;MT;2004;2007;1ER;10.8;1430;500;4227;4;2660;1205;1751;;;
241;116i;115;200;MT;2004;2007;1ER;10.9;1430;500;4227;4;2660;1245;1751;;;
242;118i;129;204;AT;2004;2007;1ER;10.1;1430;500;4227;4;2660;1265;1751;;;
243;120d;163;217;AT;2004;2007;1ER;8.2;1430;500;4227;4;2660;1350;1751;;;
244;120i;150;213;AT;2004;2007;1ER;9.2;1430;500;4227;4;2660;1275;1751;;;
245;120i;150;217;MT;2004;2007;1ER;8.7;1430;500;4227;4;2660;1260;1751;;;
246;118i;129;208;MT;2004;2007;1ER;9.4;1430;500;4227;4;2660;1250;1751;;;
247;120d;163;220;MT;2004;2007;1ER;7.9;1430;500;4227;4;2660;1340;1751;;;
248;118d;129;201;MT;2004;2007;1ER;10.0;1430;500;4227;4;2660;1310;1751;;;
249;118i;129;208;MT;2004;2007;1ER;9.4;1430;500;4227;4;2660;1250;1751;;;
250;130i;265;250;AT;2004;2007;1ER;6.3;1430;500;4227;6;2660;1390;1751;;;
251;130i;265;250;MT;2004;2007;1ER;6.1;1430;500;4227;6;2660;1375;1751;;;
